day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,record_type,trial_index,block_number,trial_in_block,is_face_block,stimonset,respsec,responsecorr,isi_seconds,block_onset,frame_index,timestamp,frame_type,keypress_index,key_code,accuracy,trigger_timestamp,screenX,screenY,source_csv_path
1,1,1,1,neg_face,stimuli_images/faces,RADIATE_COLOR_6/HF03/HF03_FO.bmp,RADIATE_COLOR_6/HF03/HF03_FO.bmp,RADIATE_COLOR_7/HM04/HM04_FO.bmp,left,trial,1,1,1,1,1779117858.0437,2.84351515769958,1,4,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,2,neg_face,stimuli_images/faces,RADIATE_COLOR_3/BF05/BF05_AC.bmp,RADIATE_COLOR_3/BF05/BF05_AC.bmp,RADIATE_COLOR_10/WM13/WM13_AC.bmp,left,trial,2,1,2,1,1779117866.03828,1.0432562828064,1,6,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,3,neg_face,stimuli_images/faces,RADIATE_COLOR_7/HM04/HM04_FO.bmp,RADIATE_COLOR_6/HF03/HF03_FO.bmp,RADIATE_COLOR_7/HM04/HM04_FO.bmp,right,trial,3,1,3,1,1779117876.03152,1.25748038291931,1,2,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,4,neg_face,stimuli_images/faces,RADIATE_COLOR_9/WF11/WF11_AC.bmp,RADIATE_COLOR_2/AM08/AM08_AC.bmp,RADIATE_COLOR_9/WF11/WF11_AC.bmp,right,trial,4,1,4,1,1779117882.02746,0.776126384735107,1,4,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,5,neg_face,stimuli_images/faces,RADIATE_COLOR_2/AM07/AM07_FC.bmp,RADIATE_COLOR_2/AM07/AM07_FC.bmp,RADIATE_COLOR_2/AM10/AM10_FC.bmp,left,trial,5,1,5,1,1779117890.02205,1.24814319610596,1,4,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,6,neg_face,stimuli_images/faces,RADIATE_COLOR_2/AM10/AM10_FC.bmp,RADIATE_COLOR_8/WF06/WF06_FC.bmp,RADIATE_COLOR_2/AM10/AM10_FC.bmp,right,trial,6,1,6,1,1779117898.01665,0.973611354827881,1,2,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,7,neg_face,stimuli_images/faces,RADIATE_COLOR_7/HM03/HM03_FO.bmp,RADIATE_COLOR_7/HM03/HM03_FO.bmp,RADIATE_COLOR_3/BF05/BF05_FO.bmp,left,trial,7,1,7,1,1779117904.01259,1.00636792182922,1,2,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,8,neg_face,stimuli_images/faces,RADIATE_COLOR_2/AM08/AM08_AC.bmp,RADIATE_COLOR_1/AF02/AF02_AC.bmp,RADIATE_COLOR_2/AM08/AM08_AC.bmp,right,trial,8,1,8,1,1779117910.00854,0.798622131347656,1,6,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,9,neg_face,stimuli_images/faces,RADIATE_COLOR_8/WF06/WF06_FC.bmp,RADIATE_COLOR_8/WF06/WF06_FC.bmp,RADIATE_COLOR_1/AF08/AF08_FC.bmp,left,trial,9,1,9,1,1779117920.00178,1.04034900665283,1,6,1779117855.04573,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,1,shape,shapes_output,oval_tall_xxlarge.png,oval_tall_xxlarge.png,circle_xsmall.png,left,trial,10,2,1,0,1779117932.993,1.06073808670044,1,2,1779117929.99503,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
