day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,trial_index,block_number,trial_in_block,is_face_block,block_onset,stimonset,respsec,responsecorr,key_code,keypress_timestamp,isi_seconds,trigger_timestamp,accuracy,screenX,screenY,source_csv_path
1,1,1,1,neg_face,stimuli_images/faces,RADIATE_COLOR_6/HF03/HF03_FO.bmp,RADIATE_COLOR_6/HF03/HF03_FO.bmp,RADIATE_COLOR_7/HM04/HM04_FO.bmp,left,1,1,1,1,1779138678.31606,1779138681.31413,1.00880861282349,1,11,1779138682.32294,6,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,2,neg_face,stimuli_images/faces,RADIATE_COLOR_3/BF05/BF05_AC.bmp,RADIATE_COLOR_3/BF05/BF05_AC.bmp,RADIATE_COLOR_10/WM13/WM13_AC.bmp,left,2,1,2,1,1779138678.31606,1779138691.30755,0.999495267868042,1,11,1779138692.30705,2,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,3,neg_face,stimuli_images/faces,RADIATE_COLOR_7/HM04/HM04_FO.bmp,RADIATE_COLOR_6/HF03/HF03_FO.bmp,RADIATE_COLOR_7/HM04/HM04_FO.bmp,right,3,1,3,1,1779138678.31606,1779138697.30353,0.903355360031128,1,12,1779138698.20688,2,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,4,neg_face,stimuli_images/faces,RADIATE_COLOR_9/WF11/WF11_AC.bmp,RADIATE_COLOR_2/AM08/AM08_AC.bmp,RADIATE_COLOR_9/WF11/WF11_AC.bmp,right,4,1,4,1,1779138678.31606,1779138703.29945,0.541383743286133,1,12,1779138703.84083,4,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,5,neg_face,stimuli_images/faces,RADIATE_COLOR_2/AM07/AM07_FC.bmp,RADIATE_COLOR_2/AM07/AM07_FC.bmp,RADIATE_COLOR_2/AM10/AM10_FC.bmp,left,5,1,5,1,1779138678.31606,1779138711.29393,1.31557846069336,1,11,1779138712.60951,4,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,6,neg_face,stimuli_images/faces,RADIATE_COLOR_2/AM10/AM10_FC.bmp,RADIATE_COLOR_8/WF06/WF06_FC.bmp,RADIATE_COLOR_2/AM10/AM10_FC.bmp,right,6,1,6,1,1779138678.31606,1779138719.28834,1.09145736694336,1,12,1779138720.3798,6,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,7,neg_face,stimuli_images/faces,RADIATE_COLOR_7/HM03/HM03_FO.bmp,RADIATE_COLOR_7/HM03/HM03_FO.bmp,RADIATE_COLOR_3/BF05/BF05_FO.bmp,left,7,1,7,1,1779138678.31606,1779138729.28126,1.06540369987488,1,11,1779138730.34666,2,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,8,neg_face,stimuli_images/faces,RADIATE_COLOR_2/AM08/AM08_AC.bmp,RADIATE_COLOR_1/AF02/AF02_AC.bmp,RADIATE_COLOR_2/AM08/AM08_AC.bmp,right,8,1,8,1,1779138678.31606,1779138735.27696,0.746339082717896,1,12,1779138736.0233,6,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,1,9,neg_face,stimuli_images/faces,RADIATE_COLOR_8/WF06/WF06_FC.bmp,RADIATE_COLOR_8/WF06/WF06_FC.bmp,RADIATE_COLOR_1/AF08/AF08_FC.bmp,left,9,1,9,1,1779138678.31606,1779138745.26974,1.22737097740173,1,11,1779138746.49711,4,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,1,2,1,shape,shapes_output,oval_tall_xxlarge.png,oval_tall_xxlarge.png,circle_xsmall.png,left,10,2,1,0,1779138753.26391,1779138756.26171,0.7423996925354,1,11,1779138757.00411,2,1779138678.29191,0.972222222222222,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
