day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,record_type,trial_index,block_number,trial_in_block,is_face_block,stimonset,respsec,responsecorr,isi_seconds,block_onset,frame_index,timestamp,frame_type,keypress_index,key_code,accuracy,trigger_timestamp,screenX,screenY,source_csv_path
1,2,1,1,hap_face,stimuli_images/faces,RADIATE_COLOR_2/AM07/AM07_HC.bmp,RADIATE_COLOR_9/WF10/WF10_HC.bmp,RADIATE_COLOR_2/AM07/AM07_HC.bmp,right,trial,1,1,1,1,1779118189.34288,1.9672794342041,1,6,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,2,hap_face,stimuli_images/faces,RADIATE_COLOR_6/BM18/BM18_HE.bmp,RADIATE_COLOR_1/AF09/AF09_HE.bmp,RADIATE_COLOR_6/BM18/BM18_HE.bmp,right,trial,2,1,2,1,1779118199.3362,1.5132200717926,1,6,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,3,hap_face,stimuli_images/faces,RADIATE_COLOR_6/BM16/BM16_HE.bmp,RADIATE_COLOR_6/BM16/BM16_HE.bmp,RADIATE_COLOR_2/AM08/AM08_HE.bmp,left,trial,3,1,3,1,1779118209.32951,1.13464188575745,1,2,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,4,hap_face,stimuli_images/faces,RADIATE_COLOR_8/HM10/HM10_HO.bmp,RADIATE_COLOR_8/HM10/HM10_HO.bmp,RADIATE_COLOR_2/AM05/AM05_HO.bmp,left,trial,4,1,4,1,1779118215.3255,0.947281837463379,1,6,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,5,hap_face,stimuli_images/faces,RADIATE_COLOR_1/AF01/AF01_HE.bmp,RADIATE_COLOR_1/AF01/AF01_HE.bmp,RADIATE_COLOR_6/BM18/BM18_HE.bmp,left,trial,5,1,5,1,1779118225.31881,0.780033826828003,1,4,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,6,hap_face,stimuli_images/faces,RADIATE_COLOR_3/BF04/BF04_HC.bmp,RADIATE_COLOR_3/BF04/BF04_HC.bmp,RADIATE_COLOR_10/WM11/WM11_HC.bmp,left,trial,6,1,6,1,1779118233.31346,0.678102970123291,1,2,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,7,hap_face,stimuli_images/faces,RADIATE_COLOR_6/BM17/BM17_HO.bmp,RADIATE_COLOR_7/HM06/HM06_HO.bmp,RADIATE_COLOR_6/BM17/BM17_HO.bmp,right,trial,7,1,7,1,1779118239.30944,0.671827793121338,1,4,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,8,hap_face,stimuli_images/faces,RADIATE_COLOR_7/HM06/HM06_HO.bmp,RADIATE_COLOR_7/HM06/HM06_HO.bmp,RADIATE_COLOR_8/HM09/HM09_HO.bmp,left,trial,8,1,8,1,1779118247.30409,0.83783221244812,1,4,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,1,9,hap_face,stimuli_images/faces,RADIATE_COLOR_10/WM11/WM11_HC.bmp,RADIATE_COLOR_7/HF10/HF10_HC.bmp,RADIATE_COLOR_10/WM11/WM11_HC.bmp,right,trial,9,1,9,1,1779118255.29873,1.60877466201782,1,2,1779118186.34488,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,2,1,shape,shapes_output,oval_wide_xsmall.png,oval_tall_xlarge.png,oval_wide_xsmall.png,right,trial,10,2,1,0,1779118264.2927,1.08674097061157,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,2,2,shape,shapes_output,oval_wide_xlarge.png,oval_tall_xlarge.png,oval_wide_xlarge.png,right,trial,11,2,2,0,1779118270.28868,1.03931593894958,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,2,3,shape,shapes_output,oval_wide_small.png,circle_large.png,oval_wide_small.png,right,trial,12,2,3,0,1779118276.28466,0.759126901626587,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
1,2,2,4,shape,shapes_output,circle_xxlarge.png,oval_wide_xsmall.png,circle_xxlarge.png,right,trial,13,2,4,0,1779118282.28064,0.711648941040039,1,2,1779118261.29471,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1920,1200,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
