day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match,trial_index,block_number,trial_in_block,is_face_block,block_onset,stimonset,respsec,responsecorr,key_code,keypress_timestamp,isi_seconds,trigger_timestamp,accuracy,screenX,screenY,source_csv_path
17,2,1,1,fem_hap,stimuli_images/faces,CFD/WF-039/CFD-WF-039-008-HC_cropped.jpg,CFD/WF-016/CFD-WF-016-017-HC_cropped.jpg,CFD/WF-039/CFD-WF-039-008-HC_cropped.jpg,right,1,1,1,1,1779661593.34374,1779661596.34173,0,NaN,NaN,NaN,2,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,1,2,fem_hap,stimuli_images/faces,CFD/BF-051/CFD-BF-051-037-HO_cropped.jpg,CFD/BF-051/CFD-BF-051-037-HO_cropped.jpg,CFD/WF-010/CFD-WF-010-006-HO_cropped.jpg,left,2,1,2,1,1779661593.34374,1779661602.33773,1.08896040916443,1,11,1779661603.42669,6,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,1,3,fem_hap,stimuli_images/faces,RADIATE_COLOR_8/WF02/WF02_HO.bmp,RADIATE_COLOR_8/WF02/WF02_HO.bmp,RADIATE_COLOR_1/AF08/AF08_HO.bmp,left,3,1,3,1,1779661593.34374,1779661612.33106,0.958209753036499,1,11,1779661613.28927,2,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,1,4,fem_hap,stimuli_images/faces,RADIATE_COLOR_4/BF14/BF14_HE.bmp,RADIATE_COLOR_9/WF10/WF10_HE.bmp,RADIATE_COLOR_4/BF14/BF14_HE.bmp,right,4,1,4,1,1779661593.34374,1779661618.32705,1.23119711875916,1,12,1779661619.55825,6,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,1,5,fem_hap,stimuli_images/faces,RADIATE_COLOR_9/WF07/WF07_HC.bmp,RADIATE_COLOR_9/WF10/WF10_HC.bmp,RADIATE_COLOR_9/WF07/WF07_HC.bmp,right,5,1,5,1,1779661593.34374,1779661628.32038,1.26265096664429,1,12,1779661629.58303,4,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,2,1,shape,shapes_output,kite_small.png,kite_small.png,chevron_right_small.png,left,6,2,1,0,1779661636.31504,1779661639.31304,1.47058248519897,1,11,1779661640.78362,2,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,2,2,shape,shapes_output,right_triangle_xxlarge.png,right_triangle_xxlarge.png,chevron_right_xxlarge.png,left,7,2,2,0,1779661636.31504,1779661645.30904,1.54086399078369,1,11,1779661646.8499,2,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,2,3,shape,shapes_output,oval_tilt315_xxlarge.png,star_xxlarge.png,oval_tilt315_xxlarge.png,right,8,2,3,0,1779661636.31504,1779661651.30503,0.845408201217651,1,12,1779661652.15044,2,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,2,4,shape,shapes_output,rect_tall_small.png,rect_tall_small.png,oval_tall_small.png,left,9,2,4,0,1779661636.31504,1779661657.30103,0.717086791992188,1,11,1779661658.01812,2,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
17,2,2,5,shape,shapes_output,right_triangle_small.png,kite_small.png,right_triangle_small.png,right,10,2,5,0,1779661636.31504,1779661663.29703,0.734310388565063,1,12,1779661664.03134,2,1779661593.31784,0.975,1680,1050,/home/lewislab/Documents/stimuli/cycles/stimuli_varia/face_stim/trial_list_local.csv
