day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match
1,1,1,1,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF14/BF14_FC.bmp,RADIATE_COLOR_4/BF16/BF16_FC.bmp,RADIATE_COLOR_4/BF14/BF14_FC.bmp,right
1,1,1,2,fem_neg,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WF-026/CFD-WF-026-024-F.jpg,WF-039/CFD-WF-039-044-F.jpg,WF-026/CFD-WF-026-024-F.jpg,right
1,1,1,3,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_3/BF01/BF01_AC.bmp,RADIATE_COLOR_8/WF02/WF02_AC.bmp,RADIATE_COLOR_3/BF01/BF01_AC.bmp,right
1,1,1,4,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF02/AF02_AO.bmp,RADIATE_COLOR_6/HF02/HF02_AO.bmp,RADIATE_COLOR_1/AF02/AF02_AO.bmp,right
1,1,1,5,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF14/WF14_FO.bmp,RADIATE_COLOR_9/WF11/WF11_FO.bmp,RADIATE_COLOR_9/WF14/WF14_FO.bmp,right
1,1,2,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_wide_large.png,heptagon_large.png,triangle_wide_large.png,right
1,1,2,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,chevron_right_small.png,chevron_right_small.png,oval_tall_xxlarge.png,left
1,1,2,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,oval_wide_large.png,trapezoid_small.png,oval_wide_large.png,right
1,1,2,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,arrow_up_small.png,arrow_up_small.png,oval_tilt45_large.png,left
1,1,2,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_tall_large.png,rect_tall_large.png,star_xxlarge.png,left
1,1,3,1,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_5/BM08/BM08_AO.bmp,RADIATE_COLOR_5/BM08/BM08_AO.bmp,RADIATE_COLOR_10/WM05/WM05_AO.bmp,left
1,1,3,2,mal_neg,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WM-018/CFD-WM-018-007-A.jpg,WM-018/CFD-WM-018-007-A.jpg,BM-038/CFD-BM-038-038-A.jpg,left
1,1,3,3,mal_neg,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WM-039/CFD-WM-039-028-F.jpg,WM-038/CFD-WM-038-018-F.jpg,WM-039/CFD-WM-039-028-F.jpg,right
1,1,3,4,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_7/HM03/HM03_FO.bmp,RADIATE_COLOR_7/HM03/HM03_FO.bmp,RADIATE_COLOR_5/BM03/BM03_FO.bmp,left
1,1,3,5,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_5/BM13/BM13_AC.bmp,RADIATE_COLOR_5/BM13/BM13_AC.bmp,RADIATE_COLOR_8/OM01/OM01_AC.bmp,left
1,1,4,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,square_small.png,heptagon_xxlarge.png,square_small.png,right
1,1,4,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,chevron_up_small.png,oval_wide_small.png,chevron_up_small.png,right
1,1,4,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,semicircle_xxlarge.png,rect_tall_xxlarge.png,semicircle_xxlarge.png,right
1,1,4,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,pentagon_small.png,pentagon_small.png,chevron_right_large.png,left
1,1,4,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,right_triangle_small.png,rhombus_large.png,right_triangle_small.png,right
1,1,5,1,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_7/HF08/HF08_FC.bmp,RADIATE_COLOR_1/AF12/AF12_FC.bmp,RADIATE_COLOR_7/HF08/HF08_FC.bmp,right
1,1,5,2,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_8/WF04/WF04_AC.bmp,RADIATE_COLOR_3/BF05/BF05_AC.bmp,RADIATE_COLOR_8/WF04/WF04_AC.bmp,right
1,1,5,3,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF03/AF03_FO.bmp,RADIATE_COLOR_1/AF03/AF03_FO.bmp,RADIATE_COLOR_1/AF10/AF10_FO.bmp,left
1,1,5,4,fem_neg,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WF-031/CFD-WF-031-045-F.jpg,WF-031/CFD-WF-031-045-F.jpg,WF-027/CFD-WF-027-015-F.jpg,left
1,1,5,5,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_6/HF01/HF01_AO.bmp,RADIATE_COLOR_8/WF05/WF05_AO.bmp,RADIATE_COLOR_6/HF01/HF01_AO.bmp,right
1,1,6,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,trapezoid_small.png,plus_xxlarge.png,trapezoid_small.png,right
1,1,6,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,pentagon_xxlarge.png,trapezoid_xxlarge.png,pentagon_xxlarge.png,right
1,1,6,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,circle_small.png,circle_small.png,semicircle_large.png,left
1,1,6,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,semicircle_small.png,arrow_up_large.png,semicircle_small.png,right
1,1,6,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,parallelogram_small.png,parallelogram_small.png,rect_wide_small.png,left
1,1,7,1,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_10/WM09/WM09_FC.bmp,RADIATE_COLOR_10/WM09/WM09_FC.bmp,RADIATE_COLOR_10/WM04/WM04_FC.bmp,left
1,1,7,2,mal_neg,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WM-019/CFD-WM-019-013-A.jpg,WM-014/CFD-WM-014-013-A.jpg,WM-019/CFD-WM-019-013-A.jpg,right
1,1,7,3,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_10/WM05/WM05_FO.bmp,RADIATE_COLOR_10/WM05/WM05_FO.bmp,RADIATE_COLOR_7/HM07/HM07_FO.bmp,left
1,1,7,4,mal_neg,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,BM-025/CFD-BM-025-051-F.jpg,WM-010/CFD-WM-010-020-F.jpg,BM-025/CFD-BM-025-051-F.jpg,right
1,1,7,5,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_5/BM08/BM08_AC.bmp,RADIATE_COLOR_7/HM01/HM01_AC.bmp,RADIATE_COLOR_5/BM08/BM08_AC.bmp,right
1,1,8,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_wide_small.png,chevron_up_small.png,rect_wide_small.png,right
1,1,8,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,plus_xxlarge.png,plus_xxlarge.png,rhombus_small.png,left
1,1,8,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,plus_small.png,plus_small.png,square_xxlarge.png,left
1,1,8,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,oval_tilt315_large.png,oval_tilt315_large.png,arrow_right_xxlarge.png,left
1,1,8,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,oval_tall_xxlarge.png,oval_tall_xxlarge.png,oval_tilt45_small.png,left
1,2,1,1,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_8/WF04/WF04_HC.bmp,RADIATE_COLOR_8/WF04/WF04_HC.bmp,RADIATE_COLOR_9/WF11/WF11_HC.bmp,left
1,2,1,2,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF09/AF09_HE.bmp,RADIATE_COLOR_1/AF09/AF09_HE.bmp,RADIATE_COLOR_1/AF12/AF12_HE.bmp,left
1,2,1,3,fem_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WF-003/CFD-WF-003-007-HC.jpg,BF-029/CFD-BF-029-038-HC.jpg,WF-003/CFD-WF-003-007-HC.jpg,right
1,2,1,4,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF14/WF14_HO.bmp,RADIATE_COLOR_9/WF14/WF14_HO.bmp,RADIATE_COLOR_6/HF03/HF03_HO.bmp,left
1,2,1,5,fem_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,BF-051/CFD-BF-051-037-HO.jpg,BF-051/CFD-BF-051-037-HO.jpg,WF-026/CFD-WF-026-017-HO.jpg,left
1,2,2,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,heptagon_large.png,heptagon_large.png,oval_tall_small.png,left
1,2,2,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,chevron_up_xxlarge.png,chevron_up_xxlarge.png,triangle_wide_small.png,left
1,2,2,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_wide_xxlarge.png,semicircle_xxlarge.png,triangle_wide_xxlarge.png,right
1,2,2,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rhombus_xxlarge.png,rhombus_xxlarge.png,arrow_right_large.png,left
1,2,2,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,chevron_right_large.png,chevron_right_large.png,kite_xxlarge.png,left
1,2,3,1,mal_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WM-021/CFD-WM-021-006-HC.jpg,WM-023/CFD-WM-023-007-HC.jpg,WM-021/CFD-WM-021-006-HC.jpg,right
1,2,3,2,mal_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_5/BM07/BM07_HC.bmp,RADIATE_COLOR_8/OM01/OM01_HC.bmp,RADIATE_COLOR_5/BM07/BM07_HC.bmp,right
1,2,3,3,mal_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_2/AM06/AM06_HO.bmp,RADIATE_COLOR_2/AM04/AM04_HO.bmp,RADIATE_COLOR_2/AM06/AM06_HO.bmp,right
1,2,3,4,mal_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_5/BM04/BM04_HE.bmp,RADIATE_COLOR_7/HM05/HM05_HE.bmp,RADIATE_COLOR_5/BM04/BM04_HE.bmp,right
1,2,3,5,mal_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WM-033/CFD-WM-033-007-HO.jpg,WM-024/CFD-WM-024-003-HO.jpg,WM-033/CFD-WM-033-007-HO.jpg,right
1,2,4,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_wide_large.png,oval_tilt315_xxlarge.png,rect_wide_large.png,right
1,2,4,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,arrow_up_large.png,circle_small.png,arrow_up_large.png,right
1,2,4,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,arrow_up_xxlarge.png,arrow_up_xxlarge.png,triangle_down_large.png,left
1,2,4,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_down_xxlarge.png,rect_wide_xxlarge.png,triangle_down_xxlarge.png,right
1,2,4,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,oval_tilt45_small.png,semicircle_small.png,oval_tilt45_small.png,right
1,2,5,1,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF12/AF12_HC.bmp,RADIATE_COLOR_1/AF12/AF12_HC.bmp,RADIATE_COLOR_1/AF07/AF07_HC.bmp,left
1,2,5,2,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF10/WF10_HE.bmp,RADIATE_COLOR_4/BF20/BF20_HE.bmp,RADIATE_COLOR_9/WF10/WF10_HE.bmp,right
1,2,5,3,fem_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,BF-038/CFD-BF-038-009-HC.jpg,BF-038/CFD-BF-038-009-HC.jpg,BF-031/CFD-BF-031-048-HC.jpg,left
1,2,5,4,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF07/WF07_HO.bmp,RADIATE_COLOR_9/WF07/WF07_HO.bmp,RADIATE_COLOR_8/WF05/WF05_HO.bmp,left
1,2,5,5,fem_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,BF-024/CFD-BF-024-005-HO.jpg,WF-008/CFD-WF-008-003-HO.jpg,BF-024/CFD-BF-024-005-HO.jpg,right
1,2,6,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,square_large.png,triangle_down_small.png,square_large.png,right
1,2,6,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,kite_small.png,kite_small.png,pentagon_large.png,left
1,2,6,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,oval_tilt45_large.png,oval_wide_large.png,oval_tilt45_large.png,right
1,2,6,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,right_triangle_large.png,triangle_xxlarge.png,right_triangle_large.png,right
1,2,6,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,arrow_right_xxlarge.png,arrow_right_xxlarge.png,right_triangle_xxlarge.png,left
1,2,7,1,mal_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,BM-019/CFD-BM-019-004-HO.jpg,WM-019/CFD-WM-019-009-HO.jpg,BM-019/CFD-BM-019-004-HO.jpg,right
1,2,7,2,mal_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_8/OM01/OM01_HC.bmp,RADIATE_COLOR_8/OM01/OM01_HC.bmp,RADIATE_COLOR_2/AM05/AM05_HC.bmp,left
1,2,7,3,mal_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_7/HM02/HM02_HE.bmp,RADIATE_COLOR_7/HM02/HM02_HE.bmp,RADIATE_COLOR_10/WM04/WM04_HE.bmp,left
1,2,7,4,mal_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_10/WM07/WM07_HO.bmp,RADIATE_COLOR_10/WM07/WM07_HO.bmp,RADIATE_COLOR_5/BM04/BM04_HO.bmp,left
1,2,7,5,mal_hap,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,WM-041/CFD-WM-041-023-HC.jpg,WM-041/CFD-WM-041-023-HC.jpg,BM-009/CFD-BM-009-006-HC.jpg,left
1,2,8,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,parallelogram_large.png,parallelogram_large.png,oval_tilt315_large.png,left
1,2,8,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,trapezoid_large.png,triangle_wide_large.png,trapezoid_large.png,right
1,2,8,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_small.png,plus_small.png,triangle_small.png,right
1,2,8,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,star_xxlarge.png,star_xxlarge.png,pentagon_xxlarge.png,left
1,2,8,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,chevron_up_large.png,chevron_up_large.png,square_large.png,left
2,1,1,1,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF16/BF16_AC.bmp,RADIATE_COLOR_3/BF02/BF02_AC.bmp,RADIATE_COLOR_4/BF16/BF16_AC.bmp,right
2,1,1,2,fem_neg,C:\Users\draga\Documents\data\emotional_faces\Chicago\CFD Version 3.0\Images\CFD\,BF-013/CFD-BF-013-017-A.jpg,BF-013/CFD-BF-013-017-A.jpg,BF-031/CFD-BF-031-020-A.jpg,left
2,1,1,3,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF21/BF21_AO.bmp,RADIATE_COLOR_4/BF21/BF21_AO.bmp,RADIATE_COLOR_7/HF09/HF09_AO.bmp,left
2,1,1,4,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF01/AF01_FO.bmp,RADIATE_COLOR_1/AF06/AF06_FO.bmp,RADIATE_COLOR_1/AF01/AF01_FO.bmp,right
