day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match
1,1,1,1,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF21/BF21_AO.bmp,RADIATE_COLOR_4/BF21/BF21_AO.bmp,RADIATE_COLOR_1/AF09/AF09_AO.bmp,left
1,1,1,2,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF15/WF15_FC.bmp,RADIATE_COLOR_9/WF15/WF15_FC.bmp,RADIATE_COLOR_4/BF22/BF22_FC.bmp,left
1,1,1,3,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF11/AF11_FO.bmp,RADIATE_COLOR_1/AF11/AF11_FO.bmp,RADIATE_COLOR_6/HF05/HF05_FO.bmp,left
1,1,1,4,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF11/WF11_AC.bmp,RADIATE_COLOR_9/WF11/WF11_AC.bmp,RADIATE_COLOR_1/AF06/AF06_AC.bmp,left
1,1,1,5,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF22/BF22_FC.bmp,RADIATE_COLOR_9/WF15/WF15_FC.bmp,RADIATE_COLOR_4/BF22/BF22_FC.bmp,right
1,1,1,6,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF09/AF09_AO.bmp,RADIATE_COLOR_4/BF21/BF21_AO.bmp,RADIATE_COLOR_1/AF09/AF09_AO.bmp,right
1,1,1,7,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_1/AF06/AF06_AC.bmp,RADIATE_COLOR_3/BF07/BF07_AC.bmp,RADIATE_COLOR_1/AF06/AF06_AC.bmp,right
1,1,1,8,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_3/BF07/BF07_AC.bmp,RADIATE_COLOR_9/WF11/WF11_AC.bmp,RADIATE_COLOR_3/BF07/BF07_AC.bmp,right
1,1,1,9,fem_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_6/HF05/HF05_FO.bmp,RADIATE_COLOR_1/AF11/AF11_FO.bmp,RADIATE_COLOR_6/HF05/HF05_FO.bmp,right
1,1,2,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_wide_xxlarge.png,triangle_xxlarge.png,rect_wide_xxlarge.png,right
1,1,2,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_large.png,rect_wide_xxlarge.png,triangle_large.png,right
1,1,2,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,square_small.png,square_small.png,triangle_small.png,left
1,1,2,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_wide_large.png,square_small.png,rect_wide_large.png,right
1,1,2,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,circle_small.png,circle_small.png,square_small.png,left
1,1,2,6,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,square_xxlarge.png,square_xxlarge.png,circle_small.png,left
1,1,2,7,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_tall_large.png,circle_small.png,rect_tall_large.png,right
1,1,2,8,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,circle_small.png,circle_small.png,rect_tall_xxlarge.png,left
1,1,2,9,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_large.png,rect_tall_xxlarge.png,triangle_large.png,right
1,1,3,1,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_10/WM08/WM08_AO.bmp,RADIATE_COLOR_7/HM05/HM05_AO.bmp,RADIATE_COLOR_10/WM08/WM08_AO.bmp,right
1,1,3,2,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_2/AM05/AM05_AC.bmp,RADIATE_COLOR_7/HM08/HM08_AC.bmp,RADIATE_COLOR_2/AM05/AM05_AC.bmp,right
1,1,3,3,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_7/HM04/HM04_FO.bmp,RADIATE_COLOR_8/HM09/HM09_FO.bmp,RADIATE_COLOR_7/HM04/HM04_FO.bmp,right
1,1,3,4,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_8/HM09/HM09_FO.bmp,RADIATE_COLOR_8/HM09/HM09_FO.bmp,RADIATE_COLOR_7/HM04/HM04_FO.bmp,left
1,1,3,5,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_2/AM02/AM02_AC.bmp,RADIATE_COLOR_2/AM05/AM05_AC.bmp,RADIATE_COLOR_2/AM02/AM02_AC.bmp,right
1,1,3,6,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_7/HM05/HM05_AO.bmp,RADIATE_COLOR_7/HM05/HM05_AO.bmp,RADIATE_COLOR_10/WM08/WM08_AO.bmp,left
1,1,3,7,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_7/HM08/HM08_AC.bmp,RADIATE_COLOR_7/HM08/HM08_AC.bmp,RADIATE_COLOR_2/AM02/AM02_AC.bmp,left
1,1,3,8,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_5/BM12/BM12_FC.bmp,RADIATE_COLOR_10/WM07/WM07_FC.bmp,RADIATE_COLOR_5/BM12/BM12_FC.bmp,right
1,1,3,9,mal_neg,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_10/WM07/WM07_FC.bmp,RADIATE_COLOR_10/WM07/WM07_FC.bmp,RADIATE_COLOR_5/BM12/BM12_FC.bmp,left
1,1,4,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_small.png,rect_wide_small.png,triangle_small.png,right
1,1,4,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,circle_xxlarge.png,circle_xxlarge.png,square_large.png,left
1,1,4,3,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,square_large.png,circle_small.png,square_large.png,right
1,1,4,4,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,circle_small.png,circle_small.png,triangle_large.png,left
1,1,4,5,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,square_large.png,circle_small.png,square_large.png,right
1,1,4,6,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_xxlarge.png,rect_wide_small.png,triangle_xxlarge.png,right
1,1,4,7,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_large.png,triangle_large.png,rect_wide_xxlarge.png,left
1,1,4,8,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_wide_large.png,rect_wide_large.png,square_xxlarge.png,left
1,1,4,9,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_wide_large.png,rect_wide_large.png,triangle_large.png,left
1,2,1,1,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_8/WF06/WF06_HO.bmp,RADIATE_COLOR_8/WF06/WF06_HO.bmp,RADIATE_COLOR_4/BF18/BF18_HO.bmp,left
1,2,1,2,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_3/BF01/BF01_HC.bmp,RADIATE_COLOR_9/WF11/WF11_HC.bmp,RADIATE_COLOR_3/BF01/BF01_HC.bmp,right
1,2,1,3,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_8/WF02/WF02_HE.bmp,RADIATE_COLOR_8/WF02/WF02_HE.bmp,RADIATE_COLOR_4/BF20/BF20_HE.bmp,left
1,2,1,4,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF20/BF20_HE.bmp,RADIATE_COLOR_7/HF08/HF08_HE.bmp,RADIATE_COLOR_4/BF20/BF20_HE.bmp,right
1,2,1,5,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF18/BF18_HO.bmp,RADIATE_COLOR_9/WF10/WF10_HO.bmp,RADIATE_COLOR_4/BF18/BF18_HO.bmp,right
1,2,1,6,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_7/HF08/HF08_HE.bmp,RADIATE_COLOR_8/WF02/WF02_HE.bmp,RADIATE_COLOR_7/HF08/HF08_HE.bmp,right
1,2,1,7,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_4/BF22/BF22_HC.bmp,RADIATE_COLOR_3/BF01/BF01_HC.bmp,RADIATE_COLOR_4/BF22/BF22_HC.bmp,right
1,2,1,8,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF11/WF11_HC.bmp,RADIATE_COLOR_9/WF11/WF11_HC.bmp,RADIATE_COLOR_4/BF22/BF22_HC.bmp,left
1,2,1,9,fem_hap,C:\Users\draga\Documents\data\emotional_faces\RADIATE\RADIATE_BMP\RADIATE_BMP\RADIATE_450_COLOR_BMP\,RADIATE_COLOR_9/WF10/WF10_HO.bmp,RADIATE_COLOR_8/WF06/WF06_HO.bmp,RADIATE_COLOR_9/WF10/WF10_HO.bmp,right
1,2,2,1,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,triangle_large.png,square_xxlarge.png,triangle_large.png,right
1,2,2,2,shape,C:\Users\draga\Documents\codes\stimuli_varia\face_stim\shapes_output\,rect_wide_small.png,circle_large.png,rect_wide_small.png,right
