day,run,block,trial,block_type,base_path,top_correct,bottom_left,bottom_right,bottom_correct_match
1,1,1,1,neg_face,stimuli_images/faces,RADIATE_COLOR_9\WF10\WF10_FC.bmp,RADIATE_COLOR_1\AF01\AF01_FC.bmp,RADIATE_COLOR_9\WF10\WF10_FC.bmp,right
1,1,1,2,neg_face,stimuli_images/faces,RADIATE_COLOR_8\WF06\WF06_AC.bmp,RADIATE_COLOR_10\WM06\WM06_AC.bmp,RADIATE_COLOR_8\WF06\WF06_AC.bmp,right
1,1,1,3,neg_face,stimuli_images/faces,RADIATE_COLOR_4\BF12\BF12_FC.bmp,RADIATE_COLOR_4\BF12\BF12_FC.bmp,RADIATE_COLOR_9\WF10\WF10_FC.bmp,left
1,1,1,4,neg_face,stimuli_images/faces,RADIATE_COLOR_7\HM05\HM05_AC.bmp,RADIATE_COLOR_7\HM05\HM05_AC.bmp,RADIATE_COLOR_1\AF05\AF05_AC.bmp,left
1,1,1,5,neg_face,stimuli_images/faces,RADIATE_COLOR_1\AF03\AF03_FC.bmp,RADIATE_COLOR_1\AF03\AF03_FC.bmp,RADIATE_COLOR_4\BF12\BF12_FC.bmp,left
1,1,1,6,neg_face,stimuli_images/faces,RADIATE_COLOR_6\HF01\HF01_FO.bmp,RADIATE_COLOR_6\HF01\HF01_FO.bmp,RADIATE_COLOR_4\BF18\BF18_FO.bmp,left
1,1,1,7,neg_face,stimuli_images/faces,RADIATE_COLOR_6\BM15\BM15_AO.bmp,RADIATE_COLOR_7\HM01\HM01_AO.bmp,RADIATE_COLOR_6\BM15\BM15_AO.bmp,right
1,1,1,8,neg_face,stimuli_images/faces,RADIATE_COLOR_10\WM13\WM13_FO.bmp,RADIATE_COLOR_10\WM13\WM13_FO.bmp,RADIATE_COLOR_6\HF01\HF01_FO.bmp,left
1,1,1,9,neg_face,stimuli_images/faces,RADIATE_COLOR_4\BF18\BF18_FO.bmp,RADIATE_COLOR_1\AF06\AF06_FO.bmp,RADIATE_COLOR_4\BF18\BF18_FO.bmp,right
1,1,2,1,shape,shapes_output,circle_smallplus.png,circle_smallplus.png,oval_wide_small.png,left
